gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S45G01N38,2024-2025,20241108,home,울산 현대모비스,19,2,18,18,36,7,51,20,20,8,1,1,17,13,6,3,72,29,17,18,15,79,89,12,0,14,40.0,40.0,2400,0,0,13,0,94,원주 DB,16,1,24,5,29,4,37,21,20,5,3,3,8,7,5,2,60,29,19,21,25,70,68,10,1,16,40.0,40.0,2400,0,0,12,0,81
S45G01N39,2024-2025,20241108,home,대구 한국가스공사,22,5,30,11,41,5,33,19,39,16,3,3,8,7,6,4,75,38,19,20,25,99,83,8,1,6,40.0,40.0,2400,0,0,9,0,135,고양 소노,18,2,23,17,40,2,39,16,36,9,0,0,13,6,5,2,75,25,16,18,29,65,88,6,1,11,40.0,40.0,2400,0,0,7,0,64
S45G01N40,2024-2025,20241109,home,수원 KT,14,1,25,10,35,4,33,14,28,8,3,3,11,7,3,4,64,25,18,18,17,65,75,3,1,9,40.0,40.0,2400,0,0,13,0,69,창원 LG,13,2,29,9,38,1,34,16,22,3,0,0,19,18,3,2,56,19,17,18,25,59,75,4,3,8,40.0,40.0,2400,0,0,8,0,68
S45G01N41,2024-2025,20241109,home,서울 SK,31,2,36,9,45,1,50,31,13,5,6,5,11,6,19,12,69,41,15,16,18,93,80,8,1,11,40.0,40.0,2400,0,0,16,0,135,부산 KCC,18,2,15,5,20,2,31,13,31,7,0,0,12,10,5,0,62,20,14,14,19,57,74,7,1,10,40.0,40.0,2400,0,0,8,0,51
S45G01N42,2024-2025,20241109,home,안양 정관장,25,3,31,6,37,2,48,28,17,10,0,0,18,16,5,2,65,38,17,20,27,102,83,9,1,5,40.0,40.0,2400,0,0,13,0,143,서울 삼성,17,3,21,12,33,1,35,17,31,5,0,0,13,10,4,2,66,22,17,21,29,59,79,2,0,13,40.0,40.0,2400,0,0,4,0,55
S45G01N43,2024-2025,20241110,home,원주 DB,18,5,31,15,46,5,37,18,25,8,0,0,19,13,0,0,62,26,18,21,24,73,81,4,0,12,40.0,40.0,2400,0,1,4,0,97,창원 LG,13,1,22,5,27,6,31,10,30,8,0,0,11,7,2,0,61,18,20,25,34,51,72,7,1,9,40.0,40.0,2400,0,0,15,0,48
S45G01N44,2024-2025,20241110,away,대구 한국가스공사,12,3,21,12,33,4,33,16,27,6,3,3,11,8,2,3,63,25,18,19,37,64,74,4,2,11,40.0,40.0,2400,0,0,4,0,66,울산 현대모비스,19,4,20,12,32,4,45,21,13,4,3,3,14,7,5,6,61,28,18,18,15,67,75,8,0,11,40.0,40.0,2400,0,1,10,0,83
S45G01N45,2024-2025,20241110,home,서울 SK,28,2,29,5,34,4,44,28,21,10,0,0,7,5,8,0,65,38,14,14,18,91,72,5,0,8,40.0,40.0,2400,0,0,8,0,127,고양 소노,22,3,19,15,34,6,34,15,42,11,0,0,12,8,1,2,76,26,13,13,26,71,88,6,0,9,40.0,40.0,2400,0,0,8,0,79
S45G01N46,2024-2025,20241111,home,수원 KT,22,1,28,14,42,3,43,20,25,8,0,0,10,5,5,3,68,28,16,16,18,69,78,7,0,12,40.0,40.0,2400,0,0,6,0,87,안양 정관장,14,4,22,7,29,6,30,15,24,4,2,2,16,12,2,0,56,21,15,16,21,58,72,7,2,13,40.0,40.0,2400,0,0,9,0,64
S45G01N47,2024-2025,20241112,away,원주 DB,19,2,26,9,35,3,42,22,32,10,1,1,6,4,5,2,75,33,18,19,14,80,81,7,1,8,40.0,40.0,2400,1,1,13,1,93,서울 SK,19,4,27,7,34,8,40,17,26,11,2,2,19,17,4,1,68,30,16,16,18,88,87,2,0,11,40.0,40.0,2400,0,0,6,0,104
