시즌,경기ID,팀명,구분,선수명,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,전형준,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,다니엘 오셰푸,14,7,11,63.6,0,0,0.0,7,11,63.6,0,0,0.0,2,5,7,2,0,2,0,2,2,2
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,이원석,10,2,2,100.0,1,1,100.0,3,3,100.0,3,3,100.0,0,0,0,1,0,1,1,0,0,1
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,변기훈,11,1,6,16.7,2,4,50.0,3,10,30.0,3,3,100.0,1,1,2,2,0,0,1,0,1,5
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,이관희,12,1,5,20.0,1,3,33.3,2,8,25.0,7,8,87.5,0,0,0,2,0,0,0,0,0,4
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,정희재,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,서민수,0,0,1,0.0,0,2,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,한상혁,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,이재도,19,4,8,50.0,2,10,20.0,6,18,33.3,5,5,100.0,6,3,9,6,2,0,0,0,4,1
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,김준일,6,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,0,2,2,1,2,0,0,0,4,4
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,정해원,6,0,0,0.0,2,5,40.0,2,5,40.0,0,0,0.0,0,2,2,1,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,박정현,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,1,2,3,1,1,0,0,0,0,2
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,압둘 말릭 아부,14,4,5,80.0,2,2,100.0,6,7,85.7,0,0,0.0,2,2,4,0,1,0,0,1,1,0
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,아셈 마레이,22,7,13,53.8,0,0,0.0,7,13,53.8,8,12,66.7,2,8,10,2,3,1,2,0,1,4
../kbl_data/2021-2022,S39G01N5,창원 LG,Away,이승우,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,송창용,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,이정현,52,10,22,45.5,8,14,57.1,18,36,50.0,8,12,66.7,0,8,8,6,2,2,0,0,6,12
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,정창영,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,3,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,라건아,13,6,11,54.5,0,2,0.0,6,13,46.2,1,2,50.0,4,10,14,2,1,0,0,0,0,3
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,김지완,12,3,7,42.9,2,4,50.0,5,11,45.5,0,2,0.0,0,4,4,5,2,0,0,0,3,3
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,김상규,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,유병훈,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,전준범,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,송교창,17,7,10,70.0,1,3,33.3,8,13,61.5,0,0,0.0,1,2,3,0,0,2,0,1,2,2
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,이진욱,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,유현준,9,3,5,60.0,0,0,0.0,3,5,60.0,3,3,100.0,0,1,1,6,1,1,0,0,2,2
../kbl_data/2021-2022,S39G01N6,전주 KCC,Home,라타비우스 윌리엄스,4,1,6,16.7,0,0,0.0,1,6,16.7,2,2,100.0,5,2,7,0,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,오용준,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,김강선,13,2,3,66.7,3,5,60.0,5,8,62.5,0,0,0.0,1,0,1,1,1,0,0,0,1,3
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,최현민,2,1,1,100.0,0,4,0.0,1,5,20.0,0,0,0.0,0,1,1,1,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,이대성,8,4,5,80.0,0,3,0.0,4,8,50.0,0,0,0.0,0,4,4,5,1,0,1,0,3,2
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,한호빈,9,2,2,100.0,1,3,33.3,3,5,60.0,2,2,100.0,0,2,2,5,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,최승욱,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,이승현,15,5,10,50.0,1,4,25.0,6,14,42.9,2,2,100.0,3,4,7,4,1,0,0,0,1,2
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,이종현,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,김진유,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,머피 할로웨이,12,6,8,75.0,0,0,0.0,6,8,75.0,0,1,0.0,2,3,5,2,2,0,0,1,0,1
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,미로슬라브 라둘리차,19,7,13,53.8,1,2,50.0,8,15,53.3,2,2,100.0,3,6,9,3,2,1,0,0,2,2
../kbl_data/2021-2022,S39G01N6,고양 오리온,Away,이정현,52,10,22,45.5,8,14,57.1,18,36,50.0,8,12,66.7,0,8,8,6,2,2,0,0,6,12
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,정영삼,2,1,1,100.0,0,3,0.0,1,4,25.0,0,0,0.0,0,1,1,3,0,0,0,0,0,5
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,민성주,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,차바위,2,0,0,0.0,0,3,0.0,0,3,0.0,2,2,100.0,4,7,11,3,1,1,0,0,1,3
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,조상열,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,1,0,1,0,1,0,0,0,1,0
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,이대헌,8,4,7,57.1,0,0,0.0,4,7,57.1,0,0,0.0,1,6,7,3,0,0,0,0,2,4
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,두경민,14,3,7,42.9,2,7,28.6,5,14,35.7,2,2,100.0,0,1,1,1,2,0,0,0,7,2
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,임준수,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N7,대구 한국가스공사,Home,김낙현,17,4,5,80.0,3,7,42.9,7,12,58.3,0,0,0.0,1,2,3,7,0,0,0,0,3,2
