경기ID,쿼터,2PA_Away,2PA_Home,2PM_Away,2PM_Home,3PA_Away,3PA_Home,3PM_Away,3PM_Home,AST_Away,AST_Home,BLK_Away,BLK_Home,DK_Away,DK_Home,DREB_Away,DREB_Home,FGA_Away,FGA_Home,FGM_Away,FGM_Home,FTA_Away,FTA_Home,FTM_Away,FTM_Home,GD_Away,GD_Home,OREB_Away,OREB_Home,PF_Away,PF_Home,PTS_Away,PTS_Home,REB_Away,REB_Home,STL_Away,STL_Home,TO_Away,TO_Home,PTS_diff,2PM_diff,2PA_diff,3PM_diff,3PA_diff,FGM_diff,FGA_diff,FTM_diff,FTA_diff,OREB_diff,DREB_diff,REB_diff,AST_diff,STL_diff,BLK_diff,GD_diff,DK_diff,TO_diff,PF_diff,Home_Win
S39G01N105,4.0,38.0,35.0,18.0,17.0,21.0,30.0,4.0,14.0,15.0,19.0,5.0,1.0,0.0,2.0,20.0,23.0,59.0,65.0,22.0,31.0,17.0,13.0,11.0,8.0,0.0,1.0,11.0,14.0,18.0,19.0,59.0,84.0,31.0,37.0,8.0,7.0,14.0,12.0,25.0,-1.0,-3.0,10.0,9.0,9.0,6.0,-3.0,-4.0,3.0,3.0,6.0,4.0,-1.0,-4.0,1.0,2.0,-2.0,1.0,1
S39G01N106,1.0,9.0,11.0,3.0,4.0,10.0,3.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0,19.0,14.0,6.0,4.0,2.0,4.0,2.0,3.0,0.0,1.0,7.0,1.0,6.0,5.0,17.0,11.0,16.0,7.0,1.0,3.0,4.0,3.0,-6.0,1.0,2.0,-3.0,-7.0,-2.0,-5.0,1.0,2.0,-6.0,-3.0,-9.0,-2.0,2.0,-1.0,1.0,0.0,-1.0,-1.0,0
S39G01N106,2.0,18.0,19.0,9.0,7.0,17.0,11.0,5.0,1.0,11.0,6.0,2.0,0.0,1.0,2.0,15.0,11.0,35.0,30.0,14.0,8.0,4.0,6.0,3.0,5.0,0.0,1.0,9.0,5.0,10.0,9.0,36.0,22.0,24.0,16.0,5.0,4.0,5.0,7.0,-14.0,-2.0,1.0,-4.0,-6.0,-6.0,-5.0,2.0,2.0,-4.0,-4.0,-8.0,-5.0,-1.0,-2.0,1.0,1.0,2.0,-1.0,0
S39G01N106,3.0,29.0,25.0,17.0,10.0,23.0,17.0,6.0,4.0,13.0,11.0,2.0,0.0,1.0,2.0,18.0,15.0,52.0,42.0,23.0,14.0,4.0,12.0,3.0,10.0,0.0,1.0,12.0,9.0,15.0,11.0,55.0,42.0,30.0,24.0,7.0,5.0,7.0,11.0,-13.0,-7.0,-4.0,-2.0,-6.0,-9.0,-10.0,7.0,8.0,-3.0,-3.0,-6.0,-2.0,-2.0,-2.0,1.0,1.0,4.0,-4.0,0
S39G01N106,4.0,37.0,36.0,21.0,16.0,30.0,21.0,8.0,6.0,15.0,14.0,2.0,0.0,1.0,2.0,22.0,24.0,67.0,57.0,29.0,22.0,5.0,14.0,3.0,12.0,0.0,1.0,12.0,12.0,19.0,15.0,69.0,62.0,34.0,36.0,8.0,6.0,8.0,14.0,-7.0,-5.0,-1.0,-2.0,-9.0,-7.0,-10.0,9.0,9.0,0.0,2.0,2.0,-1.0,-2.0,-2.0,1.0,1.0,6.0,-4.0,0
S39G01N107,1.0,6.0,16.0,2.0,6.0,11.0,4.0,6.0,2.0,6.0,4.0,3.0,0.0,1.0,0.0,6.0,6.0,17.0,20.0,8.0,8.0,4.0,6.0,3.0,5.0,1.0,0.0,3.0,3.0,5.0,5.0,25.0,23.0,9.0,9.0,1.0,3.0,3.0,2.0,-2.0,4.0,10.0,-4.0,-7.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,-2.0,2.0,-3.0,-1.0,-1.0,-1.0,0.0,0
S39G01N107,2.0,13.0,27.0,9.0,12.0,20.0,8.0,10.0,4.0,16.0,11.0,4.0,0.0,1.0,0.0,13.0,9.0,33.0,35.0,19.0,16.0,11.0,16.0,10.0,12.0,1.0,0.0,4.0,5.0,11.0,12.0,58.0,48.0,17.0,14.0,4.0,5.0,6.0,5.0,-10.0,3.0,14.0,-6.0,-12.0,-3.0,2.0,2.0,5.0,1.0,-4.0,-3.0,-5.0,1.0,-4.0,-1.0,-1.0,-1.0,1.0,0
S39G01N107,3.0,21.0,42.0,14.0,21.0,31.0,16.0,13.0,7.0,23.0,16.0,5.0,0.0,3.0,1.0,18.0,14.0,52.0,58.0,27.0,28.0,20.0,19.0,18.0,14.0,1.0,0.0,9.0,11.0,14.0,19.0,85.0,77.0,27.0,25.0,7.0,7.0,9.0,8.0,-8.0,7.0,21.0,-6.0,-15.0,1.0,6.0,-4.0,-1.0,2.0,-4.0,-2.0,-7.0,0.0,-5.0,-1.0,-2.0,-1.0,5.0,0
S39G01N107,4.0,30.0,54.0,20.0,28.0,38.0,20.0,18.0,8.0,29.0,18.0,5.0,0.0,4.0,1.0,23.0,18.0,68.0,74.0,38.0,36.0,20.0,27.0,18.0,19.0,1.0,0.0,10.0,12.0,20.0,22.0,112.0,99.0,33.0,30.0,10.0,11.0,13.0,11.0,-13.0,8.0,24.0,-10.0,-18.0,-2.0,6.0,1.0,7.0,2.0,-5.0,-3.0,-11.0,1.0,-5.0,-1.0,-3.0,-2.0,2.0,0
S39G01N108,1.0,14.0,12.0,8.0,7.0,3.0,7.0,2.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,12.0,1.0,17.0,19.0,10.0,7.0,7.0,6.0,6.0,1.0,0.0,1.0,5.0,3.0,7.0,5.0,28.0,15.0,17.0,4.0,2.0,4.0,5.0,2.0,-13.0,-1.0,-2.0,-2.0,4.0,-3.0,2.0,-5.0,-1.0,-2.0,-11.0,-13.0,-4.0,2.0,0.0,1.0,0.0,-3.0,-2.0,0
S39G01N108,2.0,25.0,26.0,13.0,13.0,13.0,13.0,6.0,4.0,12.0,7.0,3.0,3.0,1.0,0.0,19.0,5.0,38.0,39.0,19.0,17.0,9.0,8.0,8.0,3.0,0.0,1.0,10.0,6.0,10.0,10.0,52.0,41.0,29.0,11.0,3.0,5.0,8.0,3.0,-11.0,0.0,1.0,-2.0,0.0,-2.0,1.0,-5.0,-1.0,-4.0,-14.0,-18.0,-5.0,2.0,0.0,1.0,-1.0,-5.0,0.0,0
S39G01N108,3.0,36.0,36.0,16.0,18.0,23.0,20.0,11.0,6.0,19.0,11.0,5.0,4.0,1.0,0.0,26.0,16.0,59.0,56.0,27.0,24.0,13.0,10.0,11.0,5.0,0.0,1.0,13.0,7.0,14.0,15.0,76.0,59.0,39.0,23.0,7.0,5.0,8.0,8.0,-17.0,2.0,0.0,-5.0,-3.0,-3.0,-3.0,-6.0,-3.0,-6.0,-10.0,-16.0,-8.0,-2.0,-1.0,1.0,-1.0,0.0,1.0,0
S39G01N108,4.0,49.0,48.0,24.0,24.0,29.0,24.0,12.0,8.0,25.0,15.0,9.0,4.0,1.0,1.0,31.0,20.0,78.0,72.0,36.0,32.0,16.0,14.0,13.0,9.0,0.0,2.0,19.0,9.0,19.0,20.0,97.0,81.0,50.0,29.0,9.0,9.0,14.0,11.0,-16.0,0.0,-1.0,-4.0,-5.0,-4.0,-6.0,-4.0,-2.0,-10.0,-11.0,-21.0,-10.0,0.0,-5.0,2.0,0.0,-3.0,1.0,0
S39G01N109,1.0,13.0,17.0,8.0,8.0,5.0,4.0,1.0,2.0,5.0,5.0,0.0,1.0,1.0,0.0,8.0,7.0,18.0,21.0,9.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,22.0,22.0,10.0,9.0,2.0,2.0,2.0,3.0,0.0,0.0,4.0,1.0,-1.0,1.0,3.0,-3.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,2.0,1
S39G01N109,2.0,22.0,28.0,13.0,14.0,10.0,9.0,1.0,4.0,9.0,9.0,0.0,3.0,1.0,0.0,13.0,15.0,32.0,37.0,14.0,18.0,9.0,3.0,7.0,1.0,0.0,0.0,4.0,5.0,7.0,8.0,36.0,41.0,17.0,20.0,4.0,3.0,4.0,6.0,5.0,1.0,6.0,3.0,-1.0,4.0,5.0,-6.0,-6.0,1.0,2.0,3.0,0.0,-1.0,3.0,0.0,-1.0,2.0,1.0,1
S39G01N109,3.0,35.0,40.0,18.0,20.0,16.0,16.0,3.0,5.0,12.0,12.0,1.0,4.0,1.0,1.0,21.0,25.0,51.0,56.0,21.0,25.0,10.0,3.0,7.0,1.0,0.0,0.0,6.0,8.0,11.0,12.0,52.0,56.0,27.0,33.0,5.0,5.0,6.0,8.0,4.0,2.0,5.0,2.0,0.0,4.0,5.0,-6.0,-7.0,2.0,4.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1
S39G01N109,4.0,43.0,49.0,20.0,25.0,24.0,23.0,3.0,8.0,13.0,17.0,2.0,4.0,1.0,1.0,25.0,37.0,67.0,72.0,23.0,33.0,12.0,7.0,9.0,4.0,0.0,0.0,7.0,11.0,17.0,16.0,58.0,78.0,32.0,48.0,8.0,6.0,8.0,11.0,20.0,5.0,6.0,5.0,-1.0,10.0,5.0,-5.0,-5.0,4.0,12.0,16.0,4.0,-2.0,2.0,0.0,0.0,3.0,-1.0,1
S39G01N11,1.0,13.0,14.0,9.0,9.0,3.0,7.0,2.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,16.0,21.0,11.0,11.0,5.0,2.0,5.0,2.0,0.0,0.0,1.0,6.0,2.0,3.0,29.0,26.0,4.0,10.0,3.0,0.0,1.0,4.0,-3.0,0.0,1.0,0.0,4.0,0.0,5.0,-3.0,-3.0,5.0,1.0,6.0,-7.0,-3.0,-1.0,0.0,0.0,3.0,1.0,0
