gameKey,seasonName,date,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S39G01N40,2021-2022,20211030,울산 현대모비스,20,2,30,8,38,2,35,21,17,7,2,2,18,13,4,0,54,30,17,17,20,80,72,0,3,12,40.0,40.0,2400,0,0,2,0,98,창원 LG,12,3,16,15,31,3,48,23,25,4,1,1,15,9,3,0,74,28,17,19,18,69,89,7,2,2,40.0,40.0,2400,0,0,19,0,69
S39G01N41,2021-2022,20211030,서울 삼성,15,3,23,15,38,5,45,19,23,8,1,1,15,12,4,2,69,28,18,18,26,76,84,4,0,13,40.0,40.0,2400,0,0,8,0,84,고양 오리온,21,3,21,9,30,5,51,29,18,6,1,0,7,5,8,0,70,35,17,17,24,81,77,10,1,5,40.0,40.0,2400,0,1,10,0,107
S39G01N42,2021-2022,20211030,수원 KT,22,2,29,15,44,4,46,24,29,13,0,0,10,9,4,2,75,37,18,21,19,96,85,6,0,10,40.0,40.0,2400,0,0,13,0,125,전주 KCC,20,1,19,7,26,4,35,14,25,11,0,0,22,13,4,2,60,25,15,16,19,74,82,5,0,11,40.0,40.0,2400,0,0,2,0,75
S39G01N43,2021-2022,20211031,창원 LG,20,3,24,11,35,4,40,20,34,11,1,1,14,10,1,2,75,32,19,24,15,85,89,4,1,9,45.0,45.0,2700,0,1,5,0,94,서울 SK,15,4,32,14,46,5,55,26,16,4,2,2,29,20,6,4,73,32,17,18,31,88,102,5,0,9,45.0,45.0,2700,0,2,8,0,104
S39G01N44,2021-2022,20211031,원주 DB,15,3,36,8,44,1,45,20,21,4,2,2,21,12,3,2,68,26,16,19,20,68,89,5,0,7,40.0,40.0,2400,0,0,7,0,78,고양 오리온,12,2,36,6,42,3,48,23,19,4,1,1,18,12,3,2,68,28,14,16,21,72,86,6,1,9,40.0,40.0,2400,1,0,4,0,81
S39G01N45,2021-2022,20211031,수원 KT,25,2,36,14,50,3,40,23,27,8,4,4,13,8,4,0,71,35,17,19,25,86,84,7,0,13,40.0,40.0,2400,0,0,15,0,119,안양 KGC,17,3,21,17,38,2,47,16,29,7,0,0,19,10,4,2,76,23,15,15,19,63,95,9,0,9,40.0,40.0,2400,0,0,0,0,61
S39G01N46,2021-2022,20211101,대구 한국가스공사,13,1,24,7,31,3,40,24,20,3,2,2,14,9,0,0,62,29,15,14,21,70,76,2,0,9,40.0,40.0,2400,1,0,3,0,73,울산 현대모비스,17,0,23,10,33,5,37,17,29,11,1,1,11,10,2,4,67,29,16,20,15,79,78,6,2,7,40.0,40.0,2400,0,0,13,0,92
S39G01N47,2021-2022,20211102,전주 KCC,17,2,22,2,24,2,34,23,24,10,0,0,13,10,1,2,58,33,15,16,12,86,71,5,0,6,40.0,40.0,2400,0,0,8,0,102,창원 LG,18,2,24,7,31,1,28,14,33,17,0,0,8,6,4,4,61,31,18,19,18,85,69,6,2,8,40.0,40.0,2400,0,0,4,0,101
S39G01N48,2021-2022,20211103,수원 KT,22,3,28,8,36,1,43,27,17,8,4,4,14,10,5,4,64,39,17,18,25,96,78,9,2,15,40.0,40.0,2400,0,0,18,0,121,고양 오리온,22,1,19,11,30,0,52,25,19,7,1,1,13,8,2,2,72,33,14,14,24,81,85,7,2,13,40.0,40.0,2400,0,0,18,0,82
S39G01N49,2021-2022,20211104,대구 한국가스공사,22,1,32,16,48,5,41,24,30,9,2,2,13,7,6,2,73,35,19,20,20,86,86,8,1,14,40.0,40.0,2400,0,0,9,0,111,서울 삼성,17,3,22,5,27,1,32,13,27,7,1,1,14,7,8,0,60,21,18,19,25,56,74,8,1,12,40.0,40.0,2400,0,0,9,0,53
S39G01N50,2021-2022,20211105,서울 SK,15,4,29,11,40,4,47,25,21,9,0,0,17,14,1,2,68,34,17,17,26,91,85,6,1,5,40.0,40.0,2400,0,0,10,0,117,수원 KT,9,1,23,17,40,4,50,23,26,4,2,1,12,5,1,0,78,28,14,16,16,65,90,3,1,8,40.0,40.0,2400,0,0,4,0,56
S39G01N51,2021-2022,20211106,안양 KGC,13,3,24,14,38,4,44,20,23,6,1,1,25,19,3,4,68,27,16,16,15,79,93,8,1,6,40.0,40.0,2400,0,0,6,0,91,서울 삼성,15,1,28,14,42,1,36,16,31,12,1,1,10,5,2,2,68,29,19,24,26,75,78,6,1,10,40.0,40.0,2400,0,0,2,0,85
S39G01N52,2021-2022,20211106,울산 현대모비스,15,5,26,10,36,3,45,23,22,5,2,2,13,10,5,2,69,30,14,14,20,75,82,6,1,7,40.0,40.0,2400,0,0,16,0,90,전주 KCC,18,5,27,12,39,3,48,26,21,6,0,0,14,8,4,2,69,32,16,17,18,78,83,5,1,11,40.0,40.0,2400,0,0,4,0,93
S39G01N53,2021-2022,20211106,고양 오리온,21,1,22,4,26,3,42,27,14,7,0,0,19,17,6,2,56,34,18,19,17,92,75,11,0,17,40.0,40.0,2400,0,0,17,0,113,창원 LG,20,1,17,8,25,3,42,22,20,7,2,2,20,16,3,0,64,31,18,20,17,85,84,15,0,14,40.0,40.0,2400,0,1,10,0,98
S39G01N54,2021-2022,20211106,원주 DB,21,5,22,11,33,5,37,22,36,8,1,1,16,10,7,4,74,31,18,24,29,80,90,8,0,7,40.0,40.0,2400,1,0,9,0,96,대구 한국가스공사,23,0,32,6,38,6,33,18,29,10,0,0,23,18,0,0,62,28,18,21,26,84,85,4,1,11,40.0,40.0,2400,0,0,2,0,104
