시즌,경기ID,누적쿼터,팀명,구분,선수명,최종승리팀(1=홈승),PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,대릴 먼로,1,5,1,5,20.0,1,4,25.0,2,9,22.2,0,0,0.0,0,2,2,1,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,우동현,1,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,1,0,1,0,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,변준형,1,6,1,3,33.3,1,3,33.3,2,6,33.3,1,2,50.0,1,1,2,2,0,0,0,0,2,4
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,한승희,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,양승면,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,오마리 스펠맨,1,23,4,7,57.1,5,11,45.5,9,18,50.0,0,0,0.0,0,9,9,2,0,4,0,1,1,3
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,송창용,1,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,이정현,1,13,2,5,40.0,3,9,33.3,5,14,35.7,0,0,0.0,0,2,2,8,0,0,0,0,3,3
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,정창영,1,7,2,2,100.0,0,4,0.0,2,6,33.3,3,3,100.0,0,3,3,3,0,0,1,0,2,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,라건아,1,20,7,10,70.0,1,3,33.3,8,13,61.5,3,6,50.0,9,9,18,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,김지완,1,3,0,3,0.0,1,3,33.3,1,6,16.7,0,0,0.0,0,1,1,1,0,0,0,0,1,4
